"id","tid_not_to_be_used","airline","tag","tweet"
157,506435626879967232,"American","lW?u8x48>Tha","@AmericanAir is the worst Airline EVER !!!#WorstAirline#AmericanWorstEagle#TOZPPM , me and @LeniNaty and many others wont use @AmericanAir"
190,506459439973429248,"VirginAmerica","lW?u8x48>Tha","@IIJERiiCHOII @virginamerica How that fuck does that happen"
221,506463571111202816,"VirginAmerica","lW?u8x48>Tha","@IIJERiiCHOII @CoCoisConfused @VirginAmerica that's fucking crazy. Hope shit can get resolved. Fuckheads. All of em"
256,506474655968808960,"JetBlue","lW?u8x48>Tha","@JamiMiami @JetBlue There's not one thing that's fun about flying anymore. Rude TSA and carrier agents, terrible food, cramped cabins..."
257,506474767537287168,"JetBlue","lW?u8x48>Tha","@JetBlue how can my luggage get lost without you knowing where it is exactly #worstairlines #disappeared"
374,506544513213411328,"SouthWest","lW?u8x48>Tha","I fuck with @SouthwestAir instead of y'all niggas smh @AmericanAir"
379,506547629615243264,"American","lW?u8x48>Tha","@AmericanAir could I ask why you are so shit?"
462,506583990741254144,"American","lW?u8x48>Tha","Just got off 11 hr flight on the WORST @americanair plane from the 80s. No a/c. Bins didn't close. Only a few movie screens that worked. No."
471,506589263765733376,"SouthWest","lW?u8x48>Tha","handling the 3 hour delay better than most #stagsleap #oakairport @JeffBrown91 @SouthwestAir http://t.co/ZZETeP8kbA"
500,506602046037192704,"United","lW?u8x48>Tha","@united leaving on Weds for UK for IM Wales, please can you not misplace my bike for 4 days, like last time &amp; then damage it! #ironmanwales"
527,506614993023152128,"VirginAmerica","lW?u8x48>Tha","Never ever ever fly @VirginAmerica I'm so beyond angry with them I'm shaking. Completely incompetent and unprofessional."
535,506619362271174656,"VirginAmerica","lW?u8x48>Tha","@mmasnick The @VirginAmerica website has issues. But, frankly, the pre-flight pain is rewarded during the flight."
579,506658826331119616,"VirginAmerica","lW?u8x48>Tha","@VirginAmerica Love Love VA. Was one of your first fliers and have never left.  you only get better aahh great ride"
590,506669344894361600,"VirginAmerica","lW?u8x48>Tha","@VirginAmerica I've been on hold for over 30 mins! Can someone please help me with my booking issue? Not impressed with the customer service"
700,506822133553430528,"SouthWest","lW?u8x48>Tha","s/o to @SouthwestAir for continuously ruining my day by losing two of my bags &amp; having no locating system or knowledge of their whereabouts"
713,506827995018194944,"American","lW?u8x48>Tha","It never fails. Flights are always delayed. @AmericanAir five hour delay without a reason???"
865,506908155495084032,"SouthWest","lW?u8x48>Tha","@SouthwestAir, you disappointed me majorly today. "
883,506913358822404096,"United","lW?u8x48>Tha","@united WORST Flight &amp; Service EVER Flight 655 ORD-FAT 9.1 Delayed, missed connection, Rude, unhelpful, didn't care There ARE other options"
919,506928759505567744,"United","lW?u8x48>Tha","@lovebattery @united Ugh. Ridiculous and extremely unnecessary on their part. I'm so sorry. :("
927,506934051912290304,"United","lW?u8x48>Tha","@united stuck at Newark for multiple delays....this bar tab isn't gonna pay it's self #UnitedAirlines"
942,506943844907094016,"SouthWest","lW?u8x48>Tha","It's as if this @SouthwestAir flight is trying to be late as possible. Yah, bro, I don't want to make my connection. Let's keep chilling. _"
944,506944726415978496,"SouthWest","lW?u8x48>Tha","No WiFi from KC to Baltimore...sweet @SouthwestAir   #gonnabealongflight"
969,506953754436849664,"JetBlue","lW?u8x48>Tha","@TwinkleMets i just wish @jetblue had better flight times from PDX. I miss taking them &amp; i cant use them for flights to our cruise sadly :("
